3.7338,-2.635,-1.0455,0.31632,0.05869,0.43537,1.8271,-1.0781,-1.7994,0.49515,0.82246,-0.2708,0.78846,-0.67361,0.7381,-1.2088,0.68374,-0.12676,0.34188,0.045726,0.50027,-0.0051925,0.19524,0.40244,-0.093021,1
4.0082,-1.307,-0.31422,-0.86066,-1.2937,0.7949,0.82801,-0.56044,-0.69542,-0.37872,-0.23403,0.22731,1.5507,-0.37678,0.63072,-0.71627,0.8539,0.25676,-0.099376,0.15121,0.33638,-0.13884,0.021126,-0.12452,-0.006917,1
-1.2456,0.93181,0.13123,-1.2652,-1.2933,0.51498,3.2508,1.4906,1.064,0.71795,1.0671,0.78381,-0.63828,-0.56811,-0.14351,-0.38786,-1.8458,1.5643,0.83051,-0.15753,-0.073471,-1.4613,-1.816,-0.7052,-0.272,2
-1.4,3.2396,1.5615,-1.8771,1.4254,1.0076,-1.8429,0.92597,0.60209,0.10398,0.4416,0.44562,0.30052,-0.32203,-0.99712,-1.2851,1.1473,0.654,-0.071725,0.39261,0.3314,-1.1741,-0.13178,1.5311,-1.7867,4
1.1725,-1.6471,-1.4148,1.6716,0.066892,1.0642,-0.80285,-1.1211,0.66767,-0.15712,1.0999,0.27267,-1.6945,0.29927,1.5806,-0.02465,-0.35651,-0.5944,0.45822,-0.0074381,-0.043698,1.9178,-0.31211,0.036001,0.077569,8
0.29079,1.6135,2.5673,-1.5791,-1.3934,-0.65964,-0.14349,2.196,-1.6435,-0.14902,0.76466,2.2588,-1.7638,-1.4614,-0.21825,0.53945,0.58372,-1.2204,-0.76593,-0.34469,1.1523,-1.728,0.61372,-0.38589,-0.90906,7
-0.27002,0.85018,-0.1185,0.20511,2.4237,-3.0297,0.61203,-0.42643,-1.7725,1.8658,0.034406,-1.8249,1.2841,0.61613,0.13592,0.64394,1.768,-1.6775,-1.183,0.88239,0.16367,-0.1017,0.0092642,-0.59577,-0.77402,4
-0.027404,2.3029,-2.2584,2.369,0.56228,0.89567,-0.54524,-1.9289,-1.3571,-3.1668,0.60901,-0.23877,-0.50079,-1.8586,-0.63743,0.50857,0.21352,-0.74289,0.44403,0.82688,-0.64787,-0.044243,-0.16163,-0.18674,-0.52936,4
-4.902,1.1376,-2.8469,-1.902,1.8017,-0.13569,1.489,-2.7357,0.62189,-0.47353,-1.6018,0.16093,-0.26775,-0.66503,1.2737,0.58359,0.84167,-0.11381,-0.055058,0.79349,-1.2025,1.4771,0.45125,-0.88449,0.26553,6
-2.541,-0.91714,3.4383,1.2693,2.5698,-0.29001,1.6578,-1.0246,-3.4884,0.37451,1.7182,1.0626,-0.63833,1.414,-0.21428,0.50515,-0.21503,-0.56661,0.86683,-1.7044,0.1697,-2.2082,1.1393,-1.2466,0.14497,8
-0.72475,-0.3499,-3.8133,-1.1895,2.8302,-2.9279,0.7206,0.80601,-0.072924,1.0199,1.8709,0.424,0.36532,0.46681,-0.24502,-0.30793,-0.62487,-0.67726,0.44731,-0.69746,0.41736,0.59929,0.26539,0.021058,0.025588,6
1.5331,0.98256,-1.4859,-0.30822,0.62144,-0.79239,0.21946,-1.172,-1.8293,-0.41468,-0.12542,0.49802,1.8375,0.98512,0.7124,-0.7583,2.0626,0.93827,-0.88063,-0.93833,1.2549,0.23018,0.16985,-1.3741,0.21546,4
